Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,01-05-2016,10602,6.81,6.81,0,2.29,1.60,2.92,0,33,35,246,730,1820
1624580081,01-05-2016,36019,28.03,28.03,0,21.92,4.19,1.91,0.02,186,63,171,1020,2690
1644430081,01-05-2016,6132,4.46,4.46,0,0.24,0.99,3.23,0,3,24,146,908,2696
1844505072,01-05-2016,2573,1.70,1.70,0,0.00,0.26,1.45,0,0,7,75,585,1541
1927972279,01-05-2016,2704,1.87,1.87,0,1.01,0.03,0.83,0,14,1,70,1355,2411
2022484408,01-05-2016,10538,7.40,7.40,0,1.94,0.96,4.50,0,25,28,245,1142,2380
2026352035,01-05-2016,3609,2.28,2.28,0,0.00,0.00,2.28,0,0,0,191,716,1447
2320127002,01-05-2016,772,0.52,0.52,0,0.00,0.00,0.52,0,0,0,40,1400,1403
2873212765,01-05-2016,7399,4.97,4.97,0,0.49,1.04,3.44,0,7,18,196,1219,1739
3372868164,01-05-2016,3077,2.10,2.10,0,0.00,0.00,2.09,0,0,0,172,842,1237
3977333714,01-05-2016,10414,7.07,7.07,0,2.67,1.98,2.41,0,41,40,124,691,1501
4020332650,01-05-2016,0,0.00,0.00,0,0.00,0.00,0.00,0,0,0,0,1440,1980
4319703577,01-05-2016,1251,0.84,0.84,0,0.00,0.00,0.84,0,0,0,67,836,1593
4388161847,01-05-2016,10255,7.89,7.89,0,1.01,0.68,6.20,0,12,15,241,579,2926
4445114986,01-05-2016,5232,3.51,3.51,0,0.00,0.00,3.51,0,0,0,240,741,2246
4558609924,01-05-2016,3428,2.27,2.27,0,0.00,0.00,2.27,0,0,0,190,1121,1692
4702921684,01-05-2016,0,0.00,0.00,0,0.00,0.00,0.00,0,0,0,0,1440,2017
5553957443,01-05-2016,5164,3.37,3.37,0,0.00,0.00,3.37,0,0,0,237,436,1747
5577150313,01-05-2016,13368,9.99,9.99,0,5.31,1.44,3.24,0,194,72,178,499,4546
6117666160,01-05-2016,8915,6.73,6.73,0,0.00,0.00,6.73,0,0,0,397,525,2361
6290855005,01-05-2016,9837,7.44,7.44,0,0.66,2.75,4.00,0.02,8,95,282,1055,3327
6775888955,01-05-2016,2487,1.78,1.78,0,0.48,0.62,0.68,0,9,34,50,1347,2319
6962181067,01-05-2016,5454,3.61,3.61,0,0.00,0.00,3.61,0,0,0,215,722,1740
7007744171,01-05-2016,5600,3.75,3.75,0,0.00,0.00,3.75,0,0,0,237,1142,2225
7086361926,01-05-2016,12390,8.07,8.07,0,2.30,0.90,4.85,0,30,15,258,685,2730
8053475328,01-05-2016,1170,0.85,0.85,0,0.00,0.00,0.85,0,0,0,51,1389,1886
8378563200,01-05-2016,11419,9.06,9.06,0,6.03,0.56,2.47,0,71,10,127,669,3369
8583815059,01-05-2016,4512,3.52,3.52,0,0.78,0.12,2.04,0,10,2,117,1311,2596
8792009665,01-05-2016,1619,1.04,1.04,0,0.00,0.00,1.04,0,0,0,79,834,1962
8877689391,01-05-2016,10930,8.32,8.32,0,3.13,0.57,4.57,0,36,12,166,1226,2786
1503960366,02-05-2016,14727,9.71,9.71,0,3.21,0.57,5.92,0,41,15,277,798,2004
1624580081,02-05-2016,7155,4.93,4.93,0,0.86,0.59,3.47,0,7,6,166,1261,1497
1644430081,02-05-2016,3758,2.73,2.73,0,0.07,0.31,2.35,0,1,7,148,682,2580
1844505072,02-05-2016,0,0.00,0.00,0,0.00,0.00,0.00,0,0,0,0,1440,1348
1927972279,02-05-2016,3790,2.62,2.62,0,1.16,0.30,1.16,0,16,8,94,1322,2505
2022484408,02-05-2016,10379,7.29,7.29,0,2.61,0.34,4.33,0,36,8,277,1119,2473
2026352035,02-05-2016,7018,4.35,4.35,0,0.00,0.00,4.35,0,0,0,355,716,1690
2320127002,02-05-2016,3634,2.45,2.45,0,0.36,0.21,1.88,0,5,6,123,1306,1613
2873212765,02-05-2016,7525,5.06,5.06,0,0.00,0.21,4.83,0.02,0,7,334,1099,1878
3977333714,02-05-2016,16520,11.05,11.05,0,1.54,6.48,3.02,0,24,143,176,713,1760
4020332650,02-05-2016,475,0.34,0.34,0,0.00,0.04,0.29,0,0,11,31,1350,2207
4319703577,02-05-2016,9261,6.24,6.24,0,0.00,0.44,5.71,0,0,11,344,585,2270
4388161847,02-05-2016,10096,8.40,8.40,0,3.77,0.08,4.55,0,33,4,204,935,3147
4445114986,02-05-2016,6910,4.75,4.75,0,2.21,0.19,2.35,0,27,4,200,667,2336
4558609924,02-05-2016,7891,5.22,5.22,0,0.00,0.00,5.22,0,0,0,383,1057,2066
4702921684,02-05-2016,7245,5.92,5.92,0,0.38,1.74,3.76,0,5,40,195,1131,2859
5553957443,02-05-2016,9769,6.38,6.38,0,1.06,0.41,4.90,0,23,9,227,724,1996
5577150313,02-05-2016,7439,5.56,5.56,0,1.12,0.35,4.07,0,37,20,235,732,3014
6117666160,02-05-2016,4933,3.73,3.73,0,0.00,0.00,3.73,0,0,0,236,1204,2044
6290855005,02-05-2016,6781,5.13,5.13,0,0.00,0.00,5.11,0.02,0,0,268,1172,2725
6775888955,02-05-2016,0,0.00,0.00,0,0.00,0.00,0.00,0,0,0,0,1440,1841
6962181067,02-05-2016,12912,8.54,8.54,0,1.20,2.00,5.34,0,18,39,313,655,2162
7007744171,02-05-2016,13041,9.18,8.72,3,4.64,0.70,3.83,0,64,14,250,1112,2642
7086361926,02-05-2016,10052,6.81,6.81,0,3.48,0.66,2.66,0,66,26,139,737,2754
8053475328,02-05-2016,1969,1.43,1.43,0,0.00,0.00,1.43,0,0,0,95,1345,1988
8378563200,02-05-2016,6064,4.81,4.81,2,0.63,0.17,4.01,0,63,4,142,802,3491
8583815059,02-05-2016,8469,6.61,6.61,0,0.00,0.00,0.00,0,0,0,0,1440,2894
8792009665,02-05-2016,1831,1.17,1.17,0,0.00,0.00,1.17,0,0,0,101,916,2015
8877689391,02-05-2016,4790,3.64,3.64,0,0.00,0.00,3.56,0,0,0,105,1335,2189
1503960366,03-05-2016,15103,9.66,9.66,0,3.73,1.05,4.88,0,50,24,254,816,1990
1624580081,03-05-2016,2100,1.37,1.37,0,0.00,0.00,1.34,0.02,0,0,96,1344,1334
1644430081,03-05-2016,12850,9.34,9.34,0,0.72,4.09,4.54,0,10,94,221,1115,3324
1844505072,03-05-2016,4059,2.68,2.68,0,0.00,0.00,2.68,0,0,0,184,1256,1742
1927972279,03-05-2016,1326,0.92,0.92,0,0.73,0.00,0.18,0,10,0,17,1413,2195
2022484408,03-05-2016,12183,8.74,8.74,0,3.99,0.46,4.28,0,72,14,250,1104,2752
2026352035,03-05-2016,5992,3.72,3.72,0,0.00,0.00,3.72,0,0,0,304,981,1604
2320127002,03-05-2016,7443,5.02,5.02,0,1.49,0.37,3.16,0,20,10,206,1204,1878
2873212765,03-05-2016,7412,4.98,4.98,0,0.06,0.25,4.66,0.01,1,6,363,1070,1906
3977333714,03-05-2016,14335,9.59,9.59,0,3.32,1.74,4.53,0,47,41,258,594,1710
4020332650,03-05-2016,4496,3.22,3.22,0,0.00,0.00,3.15,0.050000001,0,0,174,950,2828
4319703577,03-05-2016,9648,6.47,6.47,0,0.58,1.07,4.83,0,8,26,287,669,2235
4388161847,03-05-2016,12727,9.79,9.79,0,1.13,0.78,7.88,0,18,18,306,984,3290
4445114986,03-05-2016,7502,5.18,5.18,0,2.48,0.11,2.58,0,30,2,233,725,2421
4558609924,03-05-2016,5267,3.48,3.48,0,0.60,0.28,2.60,0,21,10,237,1172,1953
4702921684,03-05-2016,9454,7.67,7.67,0,0.00,0.00,7.67,0,0,0,313,729,3145
5553957443,03-05-2016,12848,8.39,8.39,0,1.50,1.20,5.68,0,26,29,247,812,2116
5577150313,03-05-2016,11045,8.25,8.25,0,4.52,0.15,3.57,0,97,8,212,580,3795
6117666160,03-05-2016,0,0.00,0.00,0,0.00,0.00,0.00,0,0,0,0,1440,1496
6290855005,03-05-2016,6047,4.57,4.57,0,0.00,0.00,4.57,0,0,0,240,1200,2671
6775888955,03-05-2016,9,0.01,0.01,0,0.00,0.00,0.01,0,0,0,1,1439,1843
6962181067,03-05-2016,12109,8.12,8.12,0,1.74,2.04,4.33,0,21,36,267,654,2072
7007744171,03-05-2016,14510,10.87,9.71,5,4.48,1.02,5.36,0,58,31,330,1021,2976
7086361926,03-05-2016,10288,6.76,6.76,0,2.74,0.85,3.16,0,57,36,152,761,2754
8053475328,03-05-2016,15484,11.90,11.90,0,8.39,0.93,2.59,0,87,22,165,1166,3023
8378563200,03-05-2016,8712,6.91,6.91,2,1.34,1.06,4.50,0,71,20,195,822,3784
8583815059,03-05-2016,12015,9.37,9.37,0,0.00,0.00,0.00,0,0,0,0,1440,3212
8792009665,03-05-2016,2421,1.55,1.55,0,0.00,0.00,1.55,0,0,0,156,739,2297
8877689391,03-05-2016,10818,8.21,8.21,0,1.39,0.10,6.67,0.01,19,3,229,1189,2817
1503960366,04-05-2016,11100,7.15,7.15,0,2.46,0.87,3.82,0,36,22,203,1179,1819
1624580081,04-05-2016,2193,1.43,1.43,0,0.00,0.00,1.42,0,0,0,118,1322,1368
1644430081,04-05-2016,2309,1.68,1.68,0,0.00,0.00,1.66,0.02,0,0,52,1388,2222
1844505072,04-05-2016,2080,1.37,1.37,0,0.00,0.00,1.37,0,0,0,87,1353,1549
1927972279,04-05-2016,1786,1.24,1.24,0,0.00,0.00,1.24,0,0,0,87,1353,2338
2022484408,04-05-2016,11768,8.29,8.29,0,2.51,0.93,4.85,0,36,27,272,1105,2649
2026352035,04-05-2016,6564,4.07,4.07,0,0.00,0.00,4.07,0,0,0,345,530,1658
2320127002,04-05-2016,1201,0.81,0.81,0,0.00,0.00,0.81,0,0,0,52,1388,1426
2873212765,04-05-2016,8278,5.56,5.56,0,0.00,0.00,5.56,0,0,0,420,1020,2015
3977333714,04-05-2016,13559,9.44,9.44,0,1.81,4.58,2.89,0,14,96,142,852,1628
4020332650,04-05-2016,10252,7.35,7.35,0,0.67,1.04,5.58,0,13,46,346,531,3879
4319703577,04-05-2016,10429,7.02,7.02,0,0.59,0.58,5.85,0,8,13,313,1106,2282
4388161847,04-05-2016,12375,9.52,9.52,0,2.79,0.93,5.80,0,35,21,251,632,3162
4445114986,04-05-2016,2923,1.96,1.96,0,0.00,0.00,1.96,0,0,0,180,897,2070
4558609924,04-05-2016,5232,3.46,3.46,0,0.00,0.00,3.46,0,0,0,252,1188,1842
4702921684,04-05-2016,8161,6.62,6.62,0,0.34,0.73,5.54,0,4,15,251,757,3004
5553957443,04-05-2016,4249,2.77,2.77,0,0.00,0.00,2.77,0,0,0,224,651,1698
5577150313,04-05-2016,5206,3.89,3.89,0,1.56,0.25,2.08,0,25,9,141,631,2755
6117666160,04-05-2016,2997,2.26,2.26,0,0.00,0.00,2.26,0,0,0,156,1279,1902
6290855005,04-05-2016,5832,4.41,4.41,0,0.00,0.00,4.40,0.01,0,0,272,1168,2718
6775888955,04-05-2016,0,0.00,0.00,0,0.00,0.00,0.00,0,0,0,0,1440,1841
6962181067,04-05-2016,10147,6.71,6.71,0,0.47,1.68,4.55,0,15,36,284,683,2086
7007744171,04-05-2016,0,0.00,0.00,0,0.00,0.00,0.00,0,0,0,0,1440,1557
7086361926,04-05-2016,10988,8.31,8.31,0,5.28,0.12,2.90,0,45,12,135,843,2655
8053475328,04-05-2016,14581,11.15,11.15,0,8.82,0.40,1.91,0,89,8,123,1220,2918
8378563200,04-05-2016,7875,6.24,6.24,0,1.56,0.49,4.20,0,19,10,167,680,3110
8583815059,04-05-2016,3588,2.80,2.80,0,0.00,0.00,0.00,0,0,0,0,1440,2516
8792009665,04-05-2016,2283,1.46,1.46,0,0.00,0.00,1.46,0,0,0,129,848,2067
8877689391,04-05-2016,18193,16.30,16.30,0,10.42,0.31,5.53,0,66,8,212,1154,3477
1503960366,05-05-2016,14070,8.90,8.90,0,2.92,1.08,4.88,0,45,24,250,857,1959
1624580081,05-05-2016,2470,1.61,1.61,0,0.00,0.00,1.58,0.02,0,0,117,1323,1370
1644430081,05-05-2016,4363,3.19,3.19,0,0.52,0.54,2.13,0.01,6,12,81,1341,2463
1844505072,05-05-2016,2237,1.48,1.48,0,0.00,0.00,1.48,0,0,0,120,1320,1589
1927972279,05-05-2016,0,0.00,0.00,0,0.00,0.00,0.00,0,0,0,0,1440,2063
2022484408,05-05-2016,11895,8.35,8.35,0,2.79,0.86,4.70,0,55,20,253,1112,2609
2026352035,05-05-2016,12167,7.54,7.54,0,0.00,0.00,7.54,0,0,0,475,479,1926
2320127002,05-05-2016,5202,3.51,3.51,0,0.00,0.39,3.11,0,0,11,223,1206,1780
2873212765,05-05-2016,8314,5.61,5.61,0,0.78,0.80,4.03,0,13,23,311,1093,1971
3977333714,05-05-2016,12312,8.58,8.58,0,1.76,4.11,2.71,0,14,88,178,680,1618
4020332650,05-05-2016,11728,8.43,8.43,0,2.62,1.68,4.04,0.07,38,42,196,916,3429
