Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1503960366,04-12-2016,1,327,346
1927972279,04-12-2016,3,750,775
2026352035,04-12-2016,1,503,546
3977333714,04-12-2016,1,274,469
4020332650,04-12-2016,1,501,541
4445114986,04-12-2016,2,429,457
4702921684,04-12-2016,1,425,439
5553957443,04-12-2016,1,441,464
5577150313,04-12-2016,1,419,438
6962181067,04-12-2016,1,366,387
7086361926,04-12-2016,1,514,525
8378563200,04-12-2016,1,338,356
8792009665,04-12-2016,1,458,493
1503960366,4/13/2016,2,384,407
1927972279,4/13/2016,1,398,422
2026352035,4/13/2016,1,531,565
2347167796,4/13/2016,1,467,531
3977333714,4/13/2016,2,295,456
4445114986,4/13/2016,2,370,406
4702921684,4/13/2016,2,400,430
5553957443,4/13/2016,2,455,488
5577150313,4/13/2016,1,432,458
6775888955,4/13/2016,1,235,260
6962181067,4/13/2016,3,630,679
7086361926,4/13/2016,1,451,465
8378563200,4/13/2016,2,447,487
8792009665,4/13/2016,1,531,552
2026352035,4/14/2016,1,545,568
2347167796,4/14/2016,1,445,489
3977333714,4/14/2016,1,291,397
4319703577,4/14/2016,1,535,557
4445114986,4/14/2016,1,441,492
4702921684,4/14/2016,1,384,415
5553957443,4/14/2016,1,357,418
5577150313,4/14/2016,1,477,497
6775888955,4/14/2016,1,423,441
6962181067,4/14/2016,2,508,535
7086361926,4/14/2016,1,472,476
8378563200,4/14/2016,1,424,455
8792009665,4/14/2016,1,486,503
1503960366,4/15/2016,1,412,442
1844505072,4/15/2016,1,644,961
1927972279,4/15/2016,2,475,499
2026352035,4/15/2016,1,523,573
2347167796,4/15/2016,1,452,504
3977333714,4/15/2016,1,424,556
4319703577,4/15/2016,1,465,491
4388161847,4/15/2016,1,499,526
4445114986,4/15/2016,2,337,379
4702921684,4/15/2016,1,253,257
5553957443,4/15/2016,1,377,409
5577150313,4/15/2016,1,392,413
6775888955,4/15/2016,1,391,406
6962181067,4/15/2016,1,370,386
7086361926,4/15/2016,1,377,386
8378563200,4/15/2016,1,513,533
8792009665,4/15/2016,1,363,377
1503960366,4/16/2016,2,340,367
2026352035,4/16/2016,1,524,567
3977333714,4/16/2016,1,283,510
4020332650,4/16/2016,1,77,77
4319703577,4/16/2016,1,506,522
4388161847,4/16/2016,2,426,448
4445114986,4/16/2016,1,462,499
4702921684,4/16/2016,2,382,406
5553957443,4/16/2016,2,651,686
5577150313,4/16/2016,1,406,445
6117666160,4/16/2016,1,380,398
6962181067,4/16/2016,1,357,366
7007744171,4/16/2016,1,79,82
8378563200,4/16/2016,2,611,689
1503960366,4/17/2016,1,700,712
2026352035,4/17/2016,1,437,498
2347167796,4/17/2016,1,556,602
3977333714,4/17/2016,1,381,566
4388161847,4/17/2016,2,619,641
4445114986,4/17/2016,1,98,107
4702921684,4/17/2016,1,591,612
5553957443,4/17/2016,1,350,402
5577150313,4/17/2016,1,549,583
6117666160,4/17/2016,2,336,350
6962181067,4/17/2016,1,427,446
8378563200,4/17/2016,2,525,591
2347167796,4/18/2016,1,500,557
3977333714,4/18/2016,2,412,522
4319703577,4/18/2016,1,515,551
4388161847,4/18/2016,1,99,104
4702921684,4/18/2016,1,293,312
5553957443,4/18/2016,2,520,541
5577150313,4/18/2016,1,527,553
6117666160,4/18/2016,2,493,510
6962181067,4/18/2016,1,442,458
8378563200,4/18/2016,1,398,451
1503960366,4/19/2016,1,304,320
2026352035,4/19/2016,1,498,540
2347167796,4/19/2016,1,465,514
3977333714,4/19/2016,1,219,395
4319703577,4/19/2016,2,461,498
4388161847,4/19/2016,1,329,338
4445114986,4/19/2016,2,388,424
4702921684,4/19/2016,1,457,487
5553957443,4/19/2016,1,357,410
5577150313,4/19/2016,1,449,465
6117666160,4/19/2016,1,465,492
6962181067,4/19/2016,1,476,535
7086361926,4/19/2016,1,472,483
8378563200,4/19/2016,1,387,421
1503960366,4/20/2016,1,360,377
2026352035,4/20/2016,1,461,510
3977333714,4/20/2016,2,152,305
4319703577,4/20/2016,1,523,543
4388161847,4/20/2016,1,421,451
4445114986,4/20/2016,1,439,462
4702921684,4/20/2016,1,454,468
5553957443,4/20/2016,1,658,678
5577150313,4/20/2016,1,447,480
6117666160,4/20/2016,1,474,502
6962181067,4/20/2016,1,418,424
7086361926,4/20/2016,1,492,502
8053475328,4/20/2016,1,486,493
8378563200,4/20/2016,1,381,409
8792009665,4/20/2016,1,528,547
1503960366,4/21/2016,1,325,364
2026352035,4/21/2016,1,477,514
2347167796,4/21/2016,1,460,484
3977333714,4/21/2016,1,332,512
4319703577,4/21/2016,1,59,65
4388161847,4/21/2016,1,442,458
4445114986,4/21/2016,1,436,469
4558609924,4/21/2016,1,126,137
4702921684,4/21/2016,1,425,434
5553957443,4/21/2016,1,399,431
5577150313,4/21/2016,1,414,437
6117666160,4/21/2016,1,508,550
6962181067,4/21/2016,1,451,457
7086361926,4/21/2016,1,390,411
8378563200,4/21/2016,1,396,417
2026352035,4/22/2016,1,520,545
2347167796,4/22/2016,1,405,461
3977333714,4/22/2016,1,355,476
4319703577,4/22/2016,1,533,550
4388161847,4/22/2016,1,82,85
4445114986,4/22/2016,1,388,417
5553957443,4/22/2016,1,322,353
5577150313,4/22/2016,1,338,366
6117666160,4/22/2016,1,480,546
6962181067,4/22/2016,1,425,435
7086361926,4/22/2016,1,428,448
8378563200,4/22/2016,1,441,469
8792009665,4/22/2016,1,391,407
1503960366,4/23/2016,1,361,384
2026352035,4/23/2016,1,522,554
2320127002,4/23/2016,1,61,69
2347167796,4/23/2016,1,374,386
3977333714,4/23/2016,1,235,372
4319703577,4/23/2016,1,692,722
4388161847,4/23/2016,1,478,501
4702921684,4/23/2016,1,465,475
5553957443,4/23/2016,2,631,725
5577150313,4/23/2016,1,384,402
6117666160,4/23/2016,1,492,539
6962181067,4/23/2016,1,528,546
8053475328,4/23/2016,1,331,337
8378563200,4/23/2016,1,565,591
8792009665,4/23/2016,1,339,360
1503960366,4/24/2016,1,430,449
2026352035,4/24/2016,1,555,591
2347167796,4/24/2016,1,442,459
3977333714,4/24/2016,1,310,526
4319703577,4/24/2016,1,467,501
4388161847,4/24/2016,3,552,595
4702921684,4/24/2016,1,480,506
5553957443,4/24/2016,2,553,640
5577150313,4/24/2016,1,543,615
6117666160,4/24/2016,1,353,367
6962181067,4/24/2016,1,511,514
7086361926,4/24/2016,1,681,704
8378563200,4/24/2016,1,458,492
1503960366,4/25/2016,1,277,323
2026352035,4/25/2016,1,506,531
2347167796,4/25/2016,1,433,471
3977333714,4/25/2016,1,262,467
4319703577,4/25/2016,1,488,506
4445114986,4/25/2016,1,328,345
4702921684,4/25/2016,1,370,380
5553957443,4/25/2016,1,433,468
5577150313,4/25/2016,1,421,461
6962181067,4/25/2016,1,400,415
7086361926,4/25/2016,1,446,447
8378563200,4/25/2016,1,388,402
1503960366,4/26/2016,1,245,274
1927972279,4/26/2016,1,296,315
2347167796,4/26/2016,1,436,490
3977333714,4/26/2016,1,250,371
4319703577,4/26/2016,1,505,516
4388161847,4/26/2016,1,319,346
4445114986,4/26/2016,2,353,391
